Temp/h,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-15,60000,60000,60000,60000,60000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,64000,63000,62000,60000
-14,59000,59000,59000,59000,59000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,63000,62000,61000,59000
-13,58000,58000,58000,58000,58000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,62000,61000,60000,58000
-12,57000,57000,57000,57000,57000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,61000,60000,59000,57000
-11,56000,56000,56000,56000,56000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,60000,59000,58000,56000
-10,55000,55000,55000,55000,55000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,59000,58000,57000,55000
-9,54000,54000,54000,54000,54000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,58000,57000,56000,54000
-8,53000,53000,53000,53000,53000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,57000,56000,55000,53000
-7,52000,52000,52000,52000,52000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,56000,55000,54000,52000
-6,51500,51500,51500,51500,51500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,55500,54500,53500,51500
-5,51000,51000,51000,51000,51000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,55000,54000,53000,51000
-4,50500,50500,50500,50500,50500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,54500,53500,52500,50500
-3,50000,50000,50000,50000,50000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,54000,53000,52000,50000
-2,49500,49500,49500,49500,49500,54500,54500,54500,54500,54500,54500,54500,54500,54500,54500,54500,54500,54500,54500,54500,53500,52500,51500,49500
-1,49000,49000,49000,49000,49000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,53000,52000,51000,49000
0,44500,44500,44500,44500,44500,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,51500,49500,47500,44500
1,43620,43620,43620,43620,43620,52120,52120,52120,52120,52120,52120,52120,52120,52120,52120,52120,52120,52120,52120,52120,50620,48620,46620,43620
2,42740,42740,42740,42740,42740,51240,51240,51240,51240,51240,51240,51240,51240,51240,51240,51240,51240,51240,51240,51240,49740,47740,45740,42740
3,41860,41860,41860,41860,41860,50360,50360,50360,50360,50360,50360,50360,50360,50360,50360,50360,50360,50360,50360,50360,48860,46860,44860,41860
4,40980,40980,40980,40980,40980,49480,49480,49480,49480,49480,49480,49480,49480,49480,49480,49480,49480,49480,49480,49480,47980,45980,43980,40980
5,40100,40100,40100,40100,40100,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,47100,45100,43100,40100
6,39220,39220,39220,39220,39220,47720,47720,47720,47720,47720,47720,47720,47720,47720,47720,47720,47720,47720,47720,47720,46220,44220,42220,39220
7,38340,38340,38340,38340,38340,46840,46840,46840,46840,46840,46840,46840,46840,46840,46840,46840,46840,46840,46840,46840,45340,43340,41340,38340
8,36460,36460,36460,36460,36460,44960,44960,44960,44960,44960,44960,44960,44960,44960,44960,44960,44960,44960,44960,44960,43460,41460,39460,36460
9,35580,35580,35580,35580,35580,44080,44080,44080,44080,44080,44080,44080,44080,44080,44080,44080,44080,44080,44080,44080,42580,40580,38580,35580
10,34200,34200,34200,34200,34200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,41200,39200,37200,34200
11,33320,33320,33320,33320,33320,42320,42320,42320,42320,42320,42320,42320,42320,42320,42320,42320,42320,42320,42320,42320,40320,38320,36320,33320
12,32000,32000,32000,32000,32000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,39000,37000,35000,32000
13,31000,31000,31000,31000,31000,34000,36000,38000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38000,36000,34000,31000
14,0,0,0,0,0,32000,34000,36000,38000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38000,36000,34000,32000,0
15,0,0,0,0,0,0,0,34000,36000,38000,40000,40000,40000,40000,40000,40000,40000,40000,38000,36000,34000,32000,0,0
16,0,0,0,0,0,0,0,0,0,36000,38000,40000,40000,40000,40000,40000,40000,38000,36000,34000,32000,0,0,0
17,0,0,0,0,0,0,0,0,0,0,36000,38000,40000,40000,40000,38000,36000,34000,32000,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,36000,38000,40000,40000,38000,36000,32000,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0